language	member_id	form	pos	branch_gloss	layer	candidate	core_or_root_reading	support_root	classical_sources	licensed_rules	score	status
ancient_greek	kaikki_ancient_greek:27268:en-βηλός-grc-noun-iet6uDpx	βηλός	noun	threshold, the bottom-most part of a doorway	nucleus	لس	قلة مفارقة المنشأ أو المقر	ليس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.353553	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:53489:en-Βιλλαῖος-grc-name-~V17pEqd	Βιλλαῖος	name	Filyos (a river in Turkey, which flows into the Black Sea)	nucleus	فس	ذهاب غلظ الشيء بتسرب قوته	فسد	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LAB-02	0.288675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:27268:en-βηλός-grc-noun-iet6uDpx	βηλός	noun	threshold, the bottom-most part of a doorway	nucleus	فل	انفصال ندورًا أو نتوءًا مع ضعف	فلك	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LAB-02	0.250000	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:53489:en-Βιλλαῖος-grc-name-~V17pEqd	Βιλλαῖος	name	Filyos (a river in Turkey, which flows into the Black Sea)	nucleus	مس	المخالطة والاتصال	مسح	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LAB-04	0.235702	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:43169:en-βουκέφαλος-grc-noun-z7f4Bgio	βουκέφαλος	noun	thistle; one of various prickly plants:	nucleus	قص	نوع من القطع مع التسوية والتتابع الممتد	قصف	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:53489:en-Βιλλαῖος-grc-name-~V17pEqd	Βιλλαῖος	name	Filyos (a river in Turkey, which flows into the Black Sea)	nucleus	بس	الجفاف واليبوسة	بسر	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:21608:en-Βόλκων-grc-name-h8YdwBAs	Βόλκων	name	a male given name	nucleus	لق	الصدم أو الالتقاء بالشيء في الحيز بقوة	لقب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.161690	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:272:en-βλασφημέω-grc-verb-c0iAuFDY	βλασφημέω	verb	to speak profanely of sacred things, blaspheme	nucleus	لس	قلة مفارقة المنشأ أو المقر	لسن	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.155700	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:1482:en-Βλαχία-grc-name-ypRD0qGw	Βλαχία	name	Wallachia (a historical region and former principality in Eastern Europe, now part of southern Romania)	nucleus	فل	انفصال ندورًا أو نتوءًا مع ضعف	فلك	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LAB-02	0.150756	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:5284:en-βολβός-grc-noun-cHAJAK~T	βολβός	noun	bulb of various plants, especially onion	nucleus	بص	النفاذ والإدراك	بصل	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.147087	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:40951:en-Βακχίς-grc-name-pLhOhtoi	Βακχίς	name	a female given name	nucleus	كس	النقص بالدق أو القشر أو نحوهما من التأخر والغئور	كسب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.135250	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:30781:en-βώκαρος-grc-noun-YipJTT6o	βώκαρος	noun	spring	nucleus	بج	التفتق والتفجر الرخو	بجس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	GUT-03	0.124035	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:23777:en-ἀβροτόνινος-grc-adj-AmfRiPPq	ἀβροτόνινος	adj	made of southernwood	nucleus	تم	التميز الشيء مستقلا	يتم	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.288675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:18863:en-βρύτινος-grc-adj-OpJ8pj-p	βρύτινος	adj	made of or for beer	nucleus	تم	التميز الشيء مستقلا	يتم	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.288675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:29943:en-Βήφυρος-grc-name-8wKsIO6c	Βήφυρος	name	Bephyrus or Baphyras, a river of Pieria flowing through the city of Dium	nucleus	فس	ذهاب غلظ الشيء بتسرب قوته	فسد	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.250000	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:29943:en-Βήφυρος-grc-name-8wKsIO6c	Βήφυρος	name	Bephyrus or Baphyras, a river of Pieria flowing through the city of Dium	nucleus	مر	الاسترسال والحركة مع صفة (حدة، قوة، اضطراب...)	مرح	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LAB-04	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:29943:en-Βήφυρος-grc-name-8wKsIO6c	Βήφυρος	name	Bephyrus or Baphyras, a river of Pieria flowing through the city of Dium	nucleus	مس	المخالطة والاتصال	مسح	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LAB-04	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:29943:en-Βήφυρος-grc-name-8wKsIO6c	Βήφυρος	name	Bephyrus or Baphyras, a river of Pieria flowing through the city of Dium	nucleus	بس	الجفاف واليبوسة	بسر	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.176777	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:31398:en-Ἄβραγος-grc-name-h8YdwBAs	Ἄβραγος	name	a male given name	nucleus	لق	الصدم أو الالتقاء بالشيء في الحيز بقوة	لقب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-01	0.161690	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:17601:en-ἀβραμίς-grc-noun-DoA4BUNc	ἀβραμίς	noun	a kind of mullet salted in Egypt	nucleus	مز	الجمع أو الفصل والامتلاء	مزن	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.158114	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:4486:en-βουστροφηδόν-grc-adv-BY6AJM9q	βουστροφηδόν	adv	boustrophedonically (as a boustrophedon or in a boustrophedonic manner, such that the text directionality alternates on each line, resulting in a continuous stream of characters spanning multiple lines)	nucleus	سر	الامتداد أو النفاذ مع الدقة	سرب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.149071	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:34861:en-Βάραγγος-grc-name-veQQDa7T	Βάραγγος	name	Varangian; an ethnic Norseman with ancestral roots in medieval Scandinavia and other areas of Norse settlement during the Viking Age	nucleus	بن	الامتداد والبناء	بلغ	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.138675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:17977:en-βωμίσκος-grc-noun-8qMsEVdK	βωμίσκος	noun	altar-shaped vessel	nucleus	زك	الامتلاء أو التشبع بمائع أو نحوه	زكر	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.136083	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:31398:en-Ἄβραγος-grc-name-h8YdwBAs	Ἄβραγος	name	a male given name	nucleus	كس	النقص بالدق أو القشر أو نحوهما من التأخر والغئور	كسب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.135250	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:25491:en-Βαθυκλῆς-grc-name-7FVQJCfh	Βαθυκλῆς	name	Bathycles, one of the Myrmidons who took part in the Trojan War	nucleus	لس	قلة مفارقة المنشأ أو المقر	ليس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.288675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:39014:en-διέκπλοος-grc-noun-nDLG-VLy	διέκπλοος	noun	sailing across or through, passing across or through	nucleus	قص	نوع من القطع مع التسوية والتتابع الممتد	قصد	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.250000	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:23202:en-βαθύκολπος-grc-adj-g9yuvCho	βαθύκολπος	adj	bathykolpian, with dress falling in deep folds	nucleus	قص	نوع من القطع مع التسوية والتتابع الممتد	قصد	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.223607	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:25769:en-δᾴδινος-grc-adj-fGMM4WOl	δᾴδινος	adj	made of pinewood	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.213201	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:25491:en-Βαθυκλῆς-grc-name-7FVQJCfh	Βαθυκλῆς	name	Bathycles, one of the Myrmidons who took part in the Trojan War	nucleus	فل	انفصال ندورًا أو نتوءًا مع ضعف	فلك	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LAB-02	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:478:en-διακονία-grc-noun-nfawJqjG	διακονία	noun	service	nucleus	كم	تغطية الشيء بغطاء زائد على حقيقته	كمل	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:33999:en-δάκρυσι-grc-noun-ZFyoo5qS	δάκρυσι	noun	dative plural of δᾰ́κρῠ (dắkrŭ)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.174078	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:54093:en-δάκρυος-grc-noun-IEuLa2Ws	δάκρυος	noun	genitive singular of δᾰ́κρῠ (dắkrŭ)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.174078	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:54109:en-δακρύοις-grc-noun-ZwAcgaKf	δακρύοις	noun	dative plural of δᾰ́κρῠον (dắkrŭon)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.174078	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:54110:en-δακρύοισι-grc-noun-ZwAcgaKf	δακρύοισι	noun	dative plural of δᾰ́κρῠον (dắkrŭon)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.174078	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:29260:en-δακρύουσα-grc-verb-jRVBvA9B	δακρύουσα	verb	feminine nominative/vocative singular of δᾰκρῡ́ων (dăkrū́ōn)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.134840	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:9817:en-δικαίωμα-grc-noun-SSJUpasC	δικαίωμα	noun	an act by which wrong is set right	nucleus	جن	الستر والكثافة	جنف	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	GUT-03+LIQ-02	0.129580	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:8546:en-διάλυσις-grc-noun-eSXcxp~S	διάλυσις	noun	a separating or parting	nucleus	لس	قلة مفارقة المنشأ أو المقر	ليس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.500000	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:36994:en-διαλύτης-grc-noun-5GSlqczl	διαλύτης	noun	dissolving, undoing, parting asunder	nucleus	لس	قلة مفارقة المنشأ أو المقر	ليس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.353553	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:16869:en-δαῦκος-grc-noun-NZfkpeCd	δαῦκος	noun	The name of several umbelliferous plants	nucleus	قص	نوع من القطع مع التسوية والتتابع الممتد	قصف	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:54102:en-δάκρυσσι-grc-noun-ZFyoo5qS	δάκρυσσι	noun	dative plural of δᾰ́κρῠ (dắkrŭ)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.174078	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:54104:en-δακρύεσσι-grc-noun-ZFyoo5qS	δακρύεσσι	noun	dative plural of δᾰ́κρῠ (dắkrŭ)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.174078	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:4089:en-δολιχός-grc-adj-~GbwIcZ9	δολιχός	adj	long	nucleus	لس	قلة مفارقة المنشأ أو المقر	لسن	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.174078	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:7593:en-δήλωσις-grc-noun-94~K5n1K	δήλωσις	noun	explanation	nucleus	ضر	هو نوع من المزاحمة والدفع أو التضييق	ضور	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-01	0.169031	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:36994:en-διαλύτης-grc-noun-5GSlqczl	διαλύτης	noun	dissolving, undoing, parting asunder	nucleus	لت	التماسك واللزوق وما إليه وهو تداخل يلزمه النقص	ولت	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.158114	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:39598:en-δακρύσας-grc-verb-tfTSd5iy	δακρύσας	verb	aorist active participle of δᾰκρῡ́ω (dăkrū́ō)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.150756	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:5457:en-δακτύλιος-grc-noun-ffq3PHvV	δακτύλιος	noun	ring, finger ring, signet ring	nucleus	كر	التركز تكرارًا ومعاودة أو بقاء طويلًا لحصول النفع	كرس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-01	0.144338	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:54913:en-δοκείτω-grc-verb-B3XWHfXj	δοκείτω	verb	third-person singular present active imperative contracted of δοκέω (dokéō)	nucleus	كت	تداخل الشيء بعضه في بعض فيدق وينحصر	كتب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.142857	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:4216:en-ἀδευκής-grc-adj-47DEQpj8	ἀδευκής	adj	(meaning uncertain; perhaps "not sweet; bitter; cruel")	nucleus	دق	الصدم أو الضغط الشديد والحدة	ودق	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.136083	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:10052:en-διπλόω-grc-verb-C8kl59UD	διπλόω	verb	to repeat a process	nucleus	در	الجريان باسترسال، أو الامتداد بتوال	درس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-01	0.408248	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:16978:en-δονάκινος-grc-adj-VuhwihqV	δονάκινος	adj	made of reeds	nucleus	قم	تجمع الشيء أو تضامه في كتلة قوية مع تسنم أو ارتفاع	قمطر	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.215666	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:20201:en-δένδρινος-grc-adj-Q-qW1Nga	δένδρινος	adj	made of wood	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.213201	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:16978:en-δονάκινος-grc-adj-VuhwihqV	δονάκινος	adj	made of reeds	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.213201	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:42177:en-δίμορφος-grc-adj-9YZsk5A0	δίμορφος	adj	having two shapes or forms	nucleus	لس	قلة مفارقة المنشأ أو المقر	لسن	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-01	0.201008	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:25551:en-δήνεα-grc-noun-UfgWY22X	δήνεα	noun	counsels, plans, arts, whether good or bad	root	ديم	ديم1 دَامَتِ السَّمَآءُ, aor. ـِ inf. n. دَيْمٌ: see 1 in art. دوم.2 دَيَّمَتِ السَّمَآءُ: and دَيَّمُوا said of horses: see 1 in art. دوم, in the latter half of the paragraph, in three places.مَا زَالَتِ السَّمَآءُ دَيْمًا دَيْمًا: see دَوْمٌ, in art. دوم.دِ…	ديم	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.136083	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:25527:en-δαμέντες-grc-verb-P5HqqgwJ	δαμέντες	verb	masculine nominative/vocative plural of δᾰμείς (dămeís)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.134840	REVIEW-CANDIDATE-NOT-VERDICT
